2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.56137, Pluto, 272.204, 20.375, RSS, SPECTROSCOPY
2456841.56137, Pluto, 272.204, 20.375, RSS, SPECTROSCOPY
2456841.56137, Pluto, 272.204, 20.375, RSS, SPECTROSCOPY
2456841.56137, Pluto, 272.204, 20.375, RSS, SPECTROSCOPY
2456841.56137, Pluto, 272.204, 20.375, RSS, SPECTROSCOPY
2456841.56137, Pluto, 272.204, 20.375, RSS, SPECTROSCOPY
2456882.29479, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29479, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29479, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29479, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29479, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29505, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29505, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29505, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29505, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.29505, HD 146233, 2.188, 13.25, RSS, SPECTROSCOPY
2456882.30435, HD 146233, 2.187, 20.375, RSS, SPECTROSCOPY
2456882.30435, HD 146233, 2.187, 20.375, RSS, SPECTROSCOPY
2456882.30435, HD 146233, 2.187, 20.375, RSS, SPECTROSCOPY
2456882.30435, HD 146233, 2.187, 20.375, RSS, SPECTROSCOPY
2456882.30435, HD 146233, 2.187, 20.375, RSS, SPECTROSCOPY
2456882.30459, HD 146233, 2.188, 20.375, RSS, SPECTROSCOPY
2456882.30459, HD 146233, 2.188, 20.375, RSS, SPECTROSCOPY
2456882.30459, HD 146233, 2.188, 20.375, RSS, SPECTROSCOPY
2456882.30459, HD 146233, 2.188, 20.375, RSS, SPECTROSCOPY
2456882.30459, HD 146233, 2.188, 20.375, RSS, SPECTROSCOPY
2456886.31333, HD 146233, 0.948999881744, , SALTICAM, IMAGING
2456886.31837, HD 146233, 1.0490000248, , SALTICAM, IMAGING
2456886.3188, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
2456886.3188, HD 146233, 2.191, 13.2525, RSS, SPECTROSCOPY
